Fecha,Producto,Categoría,Cantidad,Precio Unitario,Total Venta
2025-05-03,Pantalón,Verano,3,35,105
2025-02-20,Vestido,Invierno,1,50,50
2025-02-27,Campera,Deportiva,2,100,200
2024-05-07,Remera,Deportiva,2,20,40
2024-02-08,Pantalón,Casual,3,35,105
2024-12-03,Pantalón,Deportiva,2,35,70
2024-12-25,Campera,Verano,4,100,400
2024-05-08,Remera,Deportiva,2,20,40
2024-09-23,Buzo,Invierno,2,60,120
2025-04-20,Short,Deportiva,1,25,25
2025-03-16,Vestido,Casual,1,50,50
2025-04-17,Short,Deportiva,2,25,50
2025-03-09,Buzo,Invierno,3,60,180
2024-05-30,Gorra,Invierno,1,15,15
2025-02-18,Pantalón,Verano,3,35,105
2025-04-22,Remera,Deportiva,2,20,40
2024-10-24,Pantalón,Invierno,2,35,70
2024-04-08,Zapatillas,Casual,4,80,320
2024-09-19,Pantalón,Verano,1,35,35
2024-09-08,Pantalón,Casual,2,35,70
2024-05-23,Buzo,Deportiva,4,60,240
2024-12-11,Buzo,Deportiva,1,60,60
2024-04-21,Buzo,Deportiva,2,60,120
2025-05-14,Short,Verano,2,25,50
2024-02-29,Zapatillas,Invierno,1,80,80
2025-01-03,Gorra,Verano,1,15,15
2024-01-02,Gorra,Casual,1,15,15
2025-01-19,Buzo,Verano,2,60,120
2024-10-30,Remera,Casual,2,20,40
2024-09-10,Short,Verano,4,25,100
2024-05-19,Campera,Invierno,3,100,300
2025-03-28,Remera,Casual,1,20,20
2024-02-06,Vestido,Deportiva,2,50,100
2024-06-08,Vestido,Deportiva,2,50,100
2024-01-09,Remera,Verano,1,20,20
2024-08-20,Buzo,Deportiva,3,60,180
2024-04-08,Campera,Casual,1,100,100
2024-05-26,Campera,Deportiva,3,100,300
2024-10-30,Short,Invierno,2,25,50
2024-07-26,Campera,Invierno,3,100,300
2024-05-10,Vestido,Verano,4,50,200
2025-02-07,Zapatillas,Casual,2,80,160
2024-05-31,Buzo,Invierno,4,60,240
2024-02-23,Campera,Invierno,1,100,100
2024-04-29,Short,Casual,1,25,25
2024-06-09,Vestido,Deportiva,1,50,50
2025-02-11,Zapatillas,Deportiva,3,80,240
2024-04-25,Pantalón,Verano,2,35,70
2024-03-15,Pantalón,Deportiva,1,35,35
2024-04-22,Zapatillas,Casual,1,80,80
2025-03-31,Vestido,Invierno,2,50,100
2025-02-23,Short,Deportiva,1,25,25
2025-02-25,Zapatillas,Verano,4,80,320
2024-04-13,Buzo,Deportiva,2,60,120
2024-12-05,Buzo,Casual,2,60,120
2024-09-10,Pantalón,Verano,2,35,70
2024-08-14,Campera,Deportiva,4,100,400
2024-04-21,Short,Verano,2,25,50
2025-04-17,Pantalón,Casual,4,35,140
2024-04-08,Campera,Invierno,2,100,200
2024-06-01,Campera,Casual,3,100,300
2024-12-14,Gorra,Casual,1,15,15
2025-02-05,Buzo,Casual,3,60,180
2025-01-18,Vestido,Casual,1,50,50
2024-12-31,Remera,Invierno,4,20,80
2024-12-03,Vestido,Invierno,3,50,150
2024-07-12,Remera,Verano,2,20,40
2024-11-05,Zapatillas,Deportiva,1,80,80
2024-06-11,Buzo,Invierno,1,60,60
2024-07-26,Campera,Invierno,3,100,300
2025-03-20,Short,Deportiva,4,25,100
2024-06-17,Remera,Invierno,3,20,60
2025-04-28,Vestido,Casual,4,50,200
2024-06-09,Campera,Casual,4,100,400
2024-03-08,Remera,Deportiva,1,20,20
2024-10-15,Remera,Verano,3,20,60
2025-02-01,Gorra,Verano,3,15,45
2024-10-03,Remera,Deportiva,4,20,80
2024-10-30,Short,Deportiva,3,25,75
2025-02-07,Buzo,Casual,2,60,120
2025-01-18,Short,Verano,2,25,50
2025-01-26,Pantalón,Invierno,3,35,105
2024-05-14,Campera,Casual,3,100,300
2024-07-13,Buzo,Deportiva,4,60,240
2025-02-04,Gorra,Verano,2,15,30
2024-05-07,Buzo,Invierno,2,60,120
2024-02-02,Buzo,Invierno,1,60,60
2024-06-24,Vestido,Casual,4,50,200
2025-04-04,Buzo,Verano,1,60,60
2025-03-18,Gorra,Verano,2,15,30
2025-01-05,Short,Deportiva,4,25,100
2025-04-14,Buzo,Verano,3,60,180
2025-01-09,Zapatillas,Verano,4,80,320
2024-01-22,Campera,Casual,3,100,300
2024-08-25,Buzo,Verano,3,60,180
2024-06-06,Campera,Invierno,4,100,400
2024-02-07,Zapatillas,Casual,3,80,240
2024-08-17,Zapatillas,Casual,1,80,80
2024-12-30,Campera,Deportiva,2,100,200
2024-02-20,Remera,Verano,3,20,60
2025-03-13,Pantalón,Deportiva,1,35,35
2024-09-20,Vestido,Invierno,3,50,150
2024-10-09,Remera,Casual,2,20,40
2024-01-27,Remera,Casual,1,20,20
2024-08-13,Short,Casual,2,25,50
2024-10-03,Vestido,Invierno,2,50,100
2024-10-12,Vestido,Invierno,1,50,50
2024-04-06,Remera,Deportiva,1,20,20
2024-10-10,Buzo,Deportiva,1,60,60
2025-01-01,Short,Deportiva,4,25,100
2025-03-23,Short,Verano,1,25,25
2025-04-25,Zapatillas,Casual,1,80,80
2025-03-28,Gorra,Casual,1,15,15
2024-11-12,Vestido,Deportiva,1,50,50
2024-10-30,Remera,Casual,3,20,60
2024-05-26,Zapatillas,Deportiva,4,80,320
2024-01-04,Campera,Verano,2,100,200
2024-02-04,Pantalón,Verano,1,35,35
2024-07-10,Gorra,Invierno,3,15,45
2024-02-18,Gorra,Verano,3,15,45
2024-01-17,Gorra,Deportiva,3,15,45
2024-06-20,Short,Verano,2,25,50
2024-08-07,Campera,Invierno,1,100,100
2024-06-06,Gorra,Casual,4,15,60
2025-04-21,Campera,Deportiva,4,100,400
2024-02-15,Buzo,Casual,3,60,180
2025-01-07,Gorra,Invierno,2,15,30
2024-01-06,Pantalón,Invierno,2,35,70
2024-04-08,Campera,Invierno,2,100,200
2025-01-14,Campera,Casual,4,100,400
2024-08-20,Pantalón,Casual,3,35,105
2024-02-06,Gorra,Casual,1,15,15
2024-10-06,Pantalón,Casual,4,35,140
2024-12-14,Campera,Invierno,3,100,300
2025-05-11,Pantalón,Invierno,3,35,105
2024-10-28,Campera,Deportiva,1,100,100
2024-06-29,Campera,Deportiva,1,100,100
2024-04-04,Buzo,Casual,1,60,60
2024-04-08,Remera,Verano,2,20,40
2024-07-06,Campera,Verano,1,100,100
2025-04-25,Gorra,Invierno,3,15,45
2024-04-25,Zapatillas,Invierno,1,80,80
2024-07-09,Short,Invierno,3,25,75
2024-09-09,Vestido,Deportiva,4,50,200
2025-04-13,Remera,Deportiva,2,20,40
2025-02-19,Remera,Invierno,4,20,80
2025-04-15,Remera,Invierno,4,20,80
2024-06-09,Buzo,Invierno,3,60,180
2024-09-12,Campera,Verano,4,100,400
2024-11-18,Buzo,Deportiva,3,60,180
2024-05-07,Campera,Verano,1,100,100
2024-01-18,Gorra,Verano,1,15,15
2024-10-07,Buzo,Invierno,3,60,180
2025-05-04,Buzo,Invierno,1,60,60
2024-08-10,Short,Casual,2,25,50
2024-02-23,Zapatillas,Casual,4,80,320
2024-02-27,Buzo,Verano,2,60,120
2024-11-18,Short,Deportiva,4,25,100
2024-12-25,Pantalón,Invierno,1,35,35
2024-06-22,Zapatillas,Invierno,2,80,160
2024-10-06,Gorra,Verano,1,15,15
2024-04-23,Buzo,Casual,4,60,240
2024-10-14,Vestido,Deportiva,3,50,150
2025-03-06,Remera,Casual,3,20,60
2024-12-07,Pantalón,Casual,2,35,70
2024-05-30,Pantalón,Casual,1,35,35
